id,occurred_at,location_text,dead_count,injured_count,vehicles,longitude,latitude
1149,2021-09-13 17:07:00+00,屏東縣內埔鄉老埤村壽比路371號附近,0,1,"[""自用小客車"",""普通重型機車""]",120.597671,22.632659
1150,2021-09-16 12:12:00+00,屏東縣內埔鄉壽比路688-1號對面,0,1,"[""自用小貨車(含客貨兩用)"",""普通重型機車"",""自用大貨車""]",120.595945,22.638797
1151,2021-09-26 16:39:00+00,屏東縣內埔鄉老埤村壽比路與福泰路口,0,2,"[""普通重型機車"",""普通重型機車""]",120.594834,22.631601
1152,2021-09-28 10:08:00+00,屏東縣內埔鄉壽比路18號前,0,1,"[""自用小貨車(含客貨兩用)"",""普通重型機車""]",120.5946,22.62945
1153,2021-09-29 08:53:00+00,屏東縣內埔鄉老埤村壽比路528號前0.0公尺,0,1,"[""普通重型機車"",""自用小客車""]",120.596697,22.635982
1154,2021-09-29 14:26:00+00,屏東縣內埔鄉老埤村壽比路682號前0.0公尺,0,2,"[""普通重型機車"",""普通重型機車""]",120.596037,22.638365
1155,2021-10-06 01:03:00+00,屏東縣內埔鄉壽比路577號前0.0公尺,0,2,"[""普通重型機車"",""普通重型機車""]",120.596452,22.636375
1156,2021-10-06 07:03:00+00,屏東縣內埔鄉老埤村壽比路348號前0.0公尺,0,2,"[""普通重型機車"",""普通重型機車""]",120.598,22.633251
1157,2021-10-06 12:03:00+00,屏東縣內埔鄉壽比路730之8號前,0,1,"[""普通重型機車"",""普通重型機車""]",120.595662,22.639672
1158,2021-10-06 21:03:00+00,屏東縣內埔鄉老埤村壽比路735之1號前0.0公尺,0,2,"[""普通重型機車"",""普通重型機車""]",120.595419,22.640198
1159,2021-10-08 10:15:00+00,屏東縣內埔鄉老埤村壽比路165巷90-1號附近,0,1,"[""普通重型機車"",""自用小客車""]",120.591534,22.633495
1160,2021-10-21 15:53:00+00,屏東縣內埔鄉壽比路與福泰路口,0,1,"[""自用小客車"",""普通重型機車""]",120.594803,22.631631
1161,2021-10-21 17:00:00+00,屏東縣內埔鄉壽比路口 / 屏東縣內埔鄉學府路,0,1,,120.595496,22.640671
