id,occurred_at 11,occurred_time 11,location_text 11,weather 1,light_condition 1,accident_type 1,dead_count 11,injured_count 11,vehicle_1_type 1,vehicle_1_detail 1,vehicle_2_type 1,longitude11,latitude11
28,2022-09-04 00:00:00+00,08:38:22,屏東縣內埔鄉南寧路3號,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.565483,22.616809
29,2022-09-23 00:00:00+00,15:47:00,屏東縣內埔鄉南寧路492-1號,雨,日間自然光線,人與汽(機)車,0,1,人,乘客,其他,120.554734,22.624477
30,2022-10-03 00:00:00+00,15:50:42,屏東縣內埔鄉南寧路442-8號前0.0公尺,晴,日間自然光線,汽(機)車本身,0,1,機車,普通重型,機車,120.55651,22.623342
31,2022-10-05 00:00:00+00,12:39:32,屏東縣內埔鄉勝利路與南寧路口,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.559641,22.621201
32,2022-10-17 00:00:00+00,17:52:24,屏東縣內埔鄉南寧路與勝利路口,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.566314,22.619741
33,2022-11-07 00:00:00+00,09:51:00,屏東縣內埔鄉東寧村台一線與南寧路口,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,1,人,乘客,其他,120.556541,22.622851
34,2022-11-08 00:00:00+00,07:48:00,屏東縣內埔鄉南寧路422號前,晴,日間自然光線,車與車,0,2,機車,普通重型,機車,120.557627,22.622569
35,2022-11-11 00:00:00+00,11:38:15,屏東縣內埔鄉南寧路與民善路口,晴,日間自然光線,車與車,0,1,小客車,自用,汽車,120.559679,22.621203
36,2022-11-16 00:00:00+00,21:24:44,屏東縣內埔鄉南寧路55號對面,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,1,機車,普通重型,機車,120.565129,22.617804
37,2022-11-11 00:00:00+00,19:41:00,屏東縣內埔鄉南寧路與平昌街口,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.564598,22.618098
38,2022-12-15 00:00:00+00,19:32:20,屏東縣內埔鄉南寧路與平昌街口,晴,夜間(或隧道、地下道、涵洞)有照明,人與汽(機)車,0,2,人,行人,其他,120.564545,22.618119
39,2022-11-11 00:00:00+00,11:38:15,屏東縣內埔鄉南寧路與民善路口,晴,日間自然光線,車與車,0,1,小客車,自用,汽車,120.559679,22.621203
